X,Y,(B-V)_0,(U-B)_0,M_V=m_v-5logd+5-A_V,m_U,m_B,m_V,m_R,Radius,U-B,B-V,V-R
1067.51,1944.49,0.74,0.2,6.4,15.34,15.14,14.4,14.02,8.6,0.2,0.74,0.38
1881.49,1946.53,0.44,0.21,5.33,13.98,13.77,13.33,13.17,3.3,0.21,0.44,0.16
140.96,1947.13,0.73,0.31,2.23,11.27,10.96,10.23,9.93,15,0.31,0.73,0.3
1714.06,1951.73,0.66,0.26,4.14,13.06,12.8,12.14,12.18,4.3,0.26,0.66,-0.04
561.66,1954.25,0.77,0.32,5.2,14.29,13.97,13.2,12.83,12.1,0.32,0.77,0.37
1120.7,1955.55,1.08,0.29,7.77,17.14,16.85,15.77,15.23,8.2,0.29,1.08,0.54
926.29,1957.86,1.37,1.52,7.41,18.3,16.78,15.41,14.66,9.5,1.52,1.37,0.75
1358.31,1959.06,1.49,0.78,6.54,16.81,16.03,14.54,13.77,6.6,0.78,1.49,0.77
520.32,1960.76,0.88,0.33,6.93,16.14,15.81,14.93,14.48,12.4,0.33,0.88,0.45
320.93,1961.24,0.55,0.31,6.51,15.37,15.06,14.51,14.24,13.8,0.31,0.55,0.27
1570.82,1961.76,0.75,0.15,5.58,14.48,14.33,13.58,13.18,5.2,0.15,0.75,0.4
1077.01,1977.19,0.82,0.21,5,14.03,13.82,13,12.59,8.5,0.21,0.82,0.41
1987.71,1996.59,0.73,0.1,6.49,15.32,15.22,14.49,14.45,2.5,0.1,0.73,0.04
938.63,1998.75,0.59,0.09,7.95,16.63,16.54,15.95,15.71,9.4,0.09,0.59,0.24
207.52,2003.77,0.46,0.23,7.29,15.98,15.75,15.29,15.09,14.5,0.23,0.46,0.2
1449.96,2006.06,0.8,0.16,6.77,15.73,15.57,14.77,14.39,5.9,0.16,0.8,0.38
1211.46,2013.69,1,0.57,7.59,17.16,16.59,15.59,15.02,7.5,0.57,1,0.57
592.86,2013.79,0.42,0.1,5.5,14.02,13.92,13.5,13.29,11.8,0.1,0.42,0.21
1739.67,2017.08,0.67,0.11,6.46,15.24,15.13,14.46,14.08,3.9,0.11,0.67,0.38
105.54,2017.41,0.67,0.33,7.91,16.91,16.58,15.91,15.62,15.2,0.33,0.67,0.29
95.67,2023.24,0.74,0.2,7.46,16.4,16.2,15.46,15.03,15.3,0.2,0.74,0.43
256.33,2038.98,0.52,0.27,7.2,15.99,15.72,15.2,14.96,14.1,0.27,0.52,0.24
1606.66,2040.63,0.86,0.77,7.97,17.6,16.83,15.97,15.48,4.7,0.77,0.86,0.49
1957.23,2047.7,0.67,0.25,6.63,15.55,15.3,14.63,14.32,2.5,0.25,0.67,0.31
15.32,2057.35,0.15,-0.06,2.18,10.27,10.33,10.18,10.16,15.8,-0.06,0.15,0.02
416.42,2058.46,0.37,0.05,7.78,16.2,16.15,15.78,15.57,13,0.05,0.37,0.21
1703.03,2060,0.78,0.32,7.76,16.86,16.54,15.76,15.36,4,0.32,0.78,0.4
1501.96,2062.36,0.13,-0.26,1.24,9.11,9.37,9.24,9.21,5.4,-0.26,0.13,0.03
1931.36,2066.44,0.22,-0.07,3.28,11.43,11.5,11.28,11.22,2.5,-0.07,0.22,0.06
1416.25,2070.87,0.47,0.2,4.66,13.33,13.13,12.66,12.46,6,0.2,0.47,0.2
914.7,2084.55,0.45,0.06,5.45,13.96,13.9,13.45,13.24,9.5,0.06,0.45,0.21
1598.33,2108.35,0.92,0.29,7.15,16.36,16.07,15.15,14.63,4.7,0.29,0.92,0.52
1537.48,2113.14,0.68,0.54,7.7,16.92,16.38,15.7,15.35,5.1,0.54,0.68,0.35
1081.93,2114.94,0.67,0.23,5.6,14.5,14.27,13.6,13.28,8.3,0.23,0.67,0.32
1987.89,2116.07,0.72,0.34,7.17,16.23,15.89,15.17,14.78,2,0.34,0.72,0.39
1181.85,2126.79,1.32,0.93,6.02,16.27,15.34,14.02,13.35,7.6,0.93,1.32,0.67
1941.53,2129.41,0.67,0.09,5.96,14.72,14.63,13.96,13.63,2.3,0.09,0.67,0.33
239.09,2133.31,0.62,0.25,6.86,15.73,15.48,14.86,14.56,14.2,0.25,0.62,0.3
1687.33,2150.06,0.79,0.18,6.83,15.8,15.62,14.83,14.4,4,0.18,0.79,0.43
228.9,2150.13,0.47,0.25,6.98,15.7,15.45,14.98,14.82,14.3,0.25,0.47,0.16
1644.99,2168.34,0.3,0.12,2.85,11.27,11.15,10.85,10.74,4.3,0.12,0.3,0.11
1388.92,2177.98,1.27,0.83,6,16.1,15.27,14,13.35,6.1,0.83,1.27,0.65
375.15,2183.92,1.26,0.97,6.66,16.89,15.92,14.66,14.02,13.2,0.97,1.26,0.64
1004.25,2196.18,0.25,0.17,3.93,12.35,12.18,11.93,11.82,8.8,0.17,0.25,0.11
156.92,2196.41,0.73,0.2,7.03,15.96,15.76,15.03,14.67,14.8,0.2,0.73,0.36
1088.41,2201.16,0.16,-0.15,2.23,10.24,10.39,10.23,10.15,8.2,-0.15,0.16,0.08
1492.16,2203.83,0.36,0.2,3.33,11.89,11.69,11.33,11.21,5.3,0.2,0.36,0.12
856.34,2209.26,1.59,2.16,7.93,19.68,17.52,15.93,15.03,9.8,2.16,1.59,0.9
879.42,2213.89,1.17,0.48,7.34,16.99,16.51,15.34,14.77,9.7,0.48,1.17,0.57
1204.09,2216.5,0.44,0.25,4.75,13.44,13.19,12.75,12.59,7.4,0.25,0.44,0.16
