X,Y,(B-V)_0,(U-B)_0,M_V=m_v-5logd+5-A_V,m_U,m_B,m_V,m_R,Radius,U-B,B-V,V-R
2429.28,3446.79,0.31,0.17,4.23,12.71,12.54,12.23,12.16,8.6,0.17,0.31,0.07
2744.18,3446.94,0.2,0.01,3.58,11.79,11.78,11.58,11.55,9.2,0.01,0.2,0.03
3169.95,3472.41,0.83,0.23,6.12,15.18,14.95,14.12,13.7,10.9,0.23,0.83,0.42
3550.18,3478.97,0.85,0.2,7.64,16.69,16.49,15.64,15.19,12.7,0.2,0.85,0.45
3013.72,3479.09,0.84,0.35,7.83,17.02,16.67,15.83,15.36,10.3,0.35,0.84,0.47
3628.03,3482.4,0.76,0.16,6.67,15.59,15.43,14.67,14.3,13.2,0.16,0.76,0.37
2443.86,3483.67,0.63,0.1,5.74,14.47,14.37,13.74,13.45,8.9,0.1,0.63,0.29
3101.42,3485.03,0.64,0.13,5.88,14.65,14.52,13.88,13.59,10.7,0.13,0.64,0.29
2501.26,3485.97,0.89,0.25,7.99,17.13,16.88,15.99,15.51,9,0.25,0.89,0.48
2528.34,3486.59,0.65,0.28,7.05,15.98,15.7,15.05,14.74,9,0.28,0.65,0.31
2561.12,3487.93,0.66,0.32,7.5,16.48,16.16,15.5,15.16,9.1,0.32,0.66,0.34
2299.95,3505.72,0.9,0.58,6.35,15.83,15.25,14.35,13.89,9,0.58,0.9,0.46
3638.07,3508.33,0.45,0.34,7.63,16.42,16.08,15.63,15.42,13.3,0.34,0.45,0.21
3734.51,3529,1.59,1.66,4.72,15.97,14.31,12.72,11.94,13.9,1.66,1.59,0.78
2880.76,3536.94,1.33,1.08,6.98,17.39,16.31,14.98,14.3,10.2,1.08,1.33,0.68
3296.72,3539.03,0.76,0.15,6.47,15.38,15.23,14.47,14.09,11.8,0.15,0.76,0.38
2775.01,3553.19,0.6,0.1,5.59,14.29,14.19,13.59,13.31,10,0.1,0.6,0.28
3854.04,3562.96,0.42,0.16,6.82,15.4,15.24,14.82,14.67,14.8,0.16,0.42,0.15
3675.52,3563.78,0.21,-0.02,3.08,11.27,11.29,11.08,11.09,13.8,-0.02,0.21,-0.01
3212.76,3564.84,0.26,0.09,3.79,12.14,12.05,11.79,11.73,11.6,0.09,0.26,0.06
3444.22,3568.08,0.6,0.24,7.9,16.74,16.5,15.9,15.74,12.7,0.24,0.6,0.16
2356.76,3569,0.6,0.29,7.53,16.42,16.13,15.53,15.28,9.4,0.29,0.6,0.25
3781.33,3569.79,1.28,0.63,7.84,17.75,17.12,15.84,15.23,14.4,0.63,1.28,0.61
2676.37,3582.05,0.78,0.29,7.83,16.9,16.61,15.83,15.39,10,0.29,0.78,0.44
2877.42,3585.65,0.63,0.26,6.18,15.07,14.81,14.18,13.85,10.5,0.26,0.63,0.33
2018.83,3593.06,0.11,-0.12,2.91,10.9,11.02,10.91,10.91,9.7,-0.12,0.11,0
3478.04,3601.74,0.46,0.23,4.92,13.61,13.38,12.92,12.76,13,0.23,0.46,0.16
3850.07,3603.11,0.54,0.22,6.08,14.84,14.62,14.08,13.87,14.9,0.22,0.54,0.21
3232.44,3605.11,0.59,0.2,5.26,14.05,13.85,13.26,12.99,11.9,0.2,0.59,0.27
2577.21,3608.89,0.89,0.19,7.93,17.01,16.82,15.93,15.46,10,0.19,0.89,0.47
3362.53,3609.81,0.87,0.23,7.24,16.34,16.11,15.24,14.79,12.5,0.23,0.87,0.45
3512.76,3617.3,0.8,0.27,7.74,16.81,16.54,15.74,15.35,13.3,0.27,0.8,0.39
2862.54,3630.93,1.08,0.38,7.79,17.25,16.87,15.79,15.3,10.8,0.38,1.08,0.49
3248.37,3644.96,0.53,0.42,7.58,16.53,16.11,15.58,15.35,12.2,0.42,0.53,0.23
2390.12,3652.17,0.75,0.47,7.59,16.81,16.34,15.59,15.21,10,0.47,0.75,0.38
3409.84,3656.7,0.72,0.16,5.96,14.84,14.68,13.96,13.63,13,0.16,0.72,0.33
3217.78,3662.02,0.89,0.25,7.11,16.25,16,15.11,14.63,12.2,0.25,0.89,0.48
3876.05,3665.94,0.7,0.17,7.41,16.28,16.11,15.41,15.02,15.3,0.17,0.7,0.39
2002.08,3681.31,0.76,0.14,5.95,14.85,14.71,13.95,13.6,10.3,0.14,0.76,0.35
2219.1,3686.19,0.83,0.18,7.22,16.23,16.05,15.22,14.8,10.2,0.18,0.83,0.42
2350.85,3686.48,0.62,0.2,6.35,15.17,14.97,14.35,14.05,10.3,0.2,0.62,0.3
2608.66,3686.61,1.41,1.41,0.53,11.35,9.94,8.53,7.93,10.5,1.41,1.41,0.6
2152.08,3691.2,0.68,0.09,6.3,15.07,14.98,14.3,13.97,10.3,0.09,0.68,0.33
3643.15,3705.17,0.97,0.24,7.82,17.03,16.79,15.82,15.4,14.3,0.24,0.97,0.42
2865.87,3706.02,1.07,0.7,7.59,17.36,16.66,15.59,15.04,11.3,0.7,1.07,0.55
2322.32,3721.05,0.36,0.18,4.2,12.74,12.56,12.2,12.12,10.5,0.18,0.36,0.08
2064.02,3724.87,1.28,0.8,6.53,16.61,15.81,14.53,13.9,10.6,0.8,1.28,0.63
2370.51,3730.21,1.25,1.17,7.73,18.15,16.98,15.73,15.1,10.6,1.17,1.25,0.63
2561.17,3737.09,0.61,0.67,7.97,17.25,16.58,15.97,15.68,10.8,0.67,0.61,0.29
3957.7,3763.39,0.36,0.24,7.13,15.73,15.49,15.13,15.05,16.2,0.24,0.36,0.08
3790.44,3770.28,0.66,0.29,6.7,15.65,15.36,14.7,14.38,15.4,0.29,0.66,0.32
3191.07,3776.87,0.95,0.3,6.91,16.16,15.86,14.91,14.42,12.8,0.3,0.95,0.49
3115.03,3780.74,1.4,0.96,6.44,16.8,15.84,14.44,13.73,12.5,0.96,1.4,0.71
2954.89,3781.02,0.98,0.27,7.91,17.16,16.89,15.91,15.45,12,0.27,0.98,0.46
3599.6,3862.89,0.64,0.37,6.77,15.78,15.41,14.77,14.47,15,0.37,0.64,0.3
3849.53,3866.38,1,0.6,7.79,17.39,16.79,15.79,15.2,16.2,0.6,1,0.59
2616.85,3881.12,1.49,1.03,6.52,17.04,16.01,14.52,13.75,11.9,1.03,1.49,0.77
2742.92,3923.09,1.02,0.4,7.55,16.97,16.57,15.55,15.08,12.4,0.4,1.02,0.47
3023.17,3928.53,1.1,0.78,7.89,17.77,16.99,15.89,15.32,13.2,0.78,1.1,0.57
2120.51,3954.39,0.73,0.12,6.24,15.09,14.97,14.24,13.91,12.2,0.12,0.73,0.33
2774.38,3955.54,0.7,0.24,5.64,14.58,14.34,13.64,13.32,12.7,0.24,0.7,0.32
2615.83,3969.18,0.54,0.25,6.44,15.23,14.98,14.44,14.22,12.5,0.25,0.54,0.22
3921.2,3971.16,0.73,0.1,5.72,14.55,14.45,13.72,13.38,17.1,0.1,0.73,0.34
